time,close,MACD_short,MACD_long,MACD,MACD_signal,MACD_sign,DPR,buying_,buying_profit
2021-03-04,56759000.0,55760888.09069786,53140664.89333636,2620223.197361499,3463798.49291459,매도,0.9842202916644991,False,1.0
2021-03-05,55836000.0,55775910.48198799,53341779.24434432,2434131.237643674,3257864.9125938034,매도,0.9837382617734632,False,1.0
2021-03-06,55236000.0,55667928.3313652,53483041.363707155,2184886.967658043,3043269.21584353,매도,0.9892542445733935,False,1.0
2021-03-07,57691000.0,56072542.82763977,53796694.00918318,2275848.81845659,2889785.0747062657,매도,1.0444456513867768,False,1.0
2021-03-08,58137000.0,56485434.394810066,54120061.551144674,2365372.843665391,2784902.5947901616,매도,1.0077308418990831,False,1.0
2021-03-09,62203000.0,57628947.809856884,54722009.496076256,2906938.313780628,2809309.7448635795,매수,1.06993824930767,False,1.0
2021-03-10,64047000.0,58912558.51190892,55416178.99860942,3496379.513299495,2946723.7268151795,매수,1.0296448724338054,True,1.0296448724338054
2021-03-11,65061000.0,60142247.01187295,56133893.31879582,4008353.6930771247,3159049.755005914,매수,1.015832123284463,True,1.015832123284463
2021-03-12,65265000.0,61166797.74437059,56813148.634832524,4353649.109538063,3397969.6573638464,매수,1.0031355189745008,True,1.0031355189745008
2021-03-13,68689000.0,62671238.35393256,57696304.924082555,4974933.429850005,3713362.4450758146,매수,1.0524630353175515,True,1.0524630353175515
2021-03-14,69209000.0,63978790.79330712,58552205.20925473,5426585.584052391,4056007.101738885,매수,1.0075703533316833,True,1.0075703533316833
2021-03-15,65171000.0,64217232.65071664,59044140.359877534,5173092.290839106,4279424.154617208,매수,0.9416549870681559,True,0.9416549870681559
2021-03-16,64220000.0,64217786.12060315,59428734.720620595,4789051.399982557,4381349.609186087,매수,0.9854076199536603,True,0.9854076199536603
2021-03-17,63521000.0,64078428.89047122,59732741.83354329,4345687.056927927,4374217.098426788,매도,0.9891155403301153,True,0.9891155403301153
