time,open,high,low,close,volume,range,target,larry_profit_rate
2021-06-28,38650000.0,40600000.0,37863000.0,39833000.0,3922.3583021,2189600.0,41016400.0,1.0
2021-06-29,39834000.0,42105000.0,39402000.0,41842000.0,3713.91740976,2162400.0,42023600.0,0.9956786186809317
2021-06-30,41844000.0,42194000.0,39900000.0,40232000.0,3194.35176147,1835200.0,44006400.0,1.0
2021-07-01,40232000.0,40864000.0,38633000.0,39060000.0,3746.52555817,1784800.0,42067200.0,1.0
2021-07-02,39055000.0,39850000.0,38214000.0,39460000.0,2761.4622034,1308800.0,40839800.0,1.0
2021-07-03,39478000.0,40493000.0,38680000.0,40347000.0,1683.91753145,1450400.0,40786800.0,1.0
2021-07-04,40345000.0,41551000.0,39971000.0,41124000.0,1661.78225072,1264000.0,41795400.0,1.0
2021-07-05,41085000.0,41680000.0,39000000.0,39416000.0,2680.73423223,2144000.0,42349000.0,1.0
2021-07-06,39434000.0,40650000.0,38804000.0,39809000.0,2408.06760388,1476800.0,41578000.0,1.0
2021-07-07,39775000.0,40680000.0,39235000.0,40319000.0,2092.31476034,1156000.0,41251800.0,1.0
2021-07-08,40326000.0,40514000.0,38120000.0,38975000.0,3605.27639945,1915200.0,41482000.0,1.0
2021-07-09,38983000.0,39635000.0,38160000.0,39486000.0,2323.68146723,1180000.0,40898200.0,1.0
2021-07-10,39486000.0,40250000.0,39217000.0,39918000.0,1510.5595502,826400.0,40666000.0,1.0
2021-07-11,39918000.0,40258000.0,39160000.0,39922000.0,1016.74526617,878400.0,40744400.0,1.0
2021-07-12,39922000.0,40550000.0,39300000.0,39433000.0,1856.8084869,1000000.0,40800400.0,1.0
2021-07-13,39424000.0,39534000.0,38200000.0,38430000.0,2051.82263545,1067200.0,40424000.0,1.0
2021-07-14,38451000.0,38950000.0,37471000.0,38725000.0,2818.57739631,1183200.0,39518200.0,1.0
2021-07-15,38760000.0,39052000.0,37300000.0,37559000.0,2227.49057644,1401600.0,39943200.0,1.0
2021-07-16,37558000.0,37794000.0,36680000.0,37712000.0,2169.66508884,891200.0,38959600.0,1.0
2021-07-17,37698000.0,38030000.0,36812000.0,37365000.0,1474.62677483,974400.0,38589200.0,1.0
2021-07-18,37383000.0,38150000.0,36900000.0,37049000.0,1474.25096193,1000000.0,38357400.0,1.0
2021-07-19,37043000.0,37777000.0,36350000.0,36760000.0,1980.48895625,1141600.0,38043000.0,1.0
2021-07-20,36739000.0,36925000.0,34777000.0,35251000.0,2833.95938201,1718400.0,37880600.0,1.0
2021-07-21,35271000.0,37495000.0,34904000.0,37459000.0,2563.80359012,2072800.0,36989400.0,1.0126955289893862
2021-07-22,37446000.0,38500000.0,37220000.0,38030000.0,2478.81507543,1024000.0,39518800.0,1.0
2021-07-23,38030000.0,38500000.0,37730000.0,38098000.0,1730.09628456,616000.0,39054000.0,1.0
2021-07-24,38111000.0,39814000.0,37750000.0,39507000.0,2032.34318767,1651200.0,38727000.0,1.0201409869083584
2021-07-25,39496000.0,40550000.0,39485000.0,39827000.0,1699.22515539,852000.0,41147200.0,1.0
2021-07-26,39827000.0,45753000.0,39726000.0,44635000.0,4649.46395763,4821600.0,40679000.0,1.097249194916296
2021-07-27,44637000.0,46866000.0,42011000.0,43995000.0,5106.77279485,3884000.0,49458600.0,1.0
2021-07-28,43995000.0,47400000.0,43430000.0,45647000.0,3463.13814198,3176000.0,47879000.0,1.0
2021-07-29,45646000.0,47021000.0,45163000.0,46041000.0,2088.29681746,1486400.0,48822000.0,1.0
2021-07-30,46045000.0,46420000.0,44350000.0,45227000.0,2096.90324815,1656000.0,47531400.0,1.0
2021-07-31,45224000.0,48738000.0,45123000.0,47860000.0,2349.74116171,2892000.0,46880000.0,1.0209044368600682
2021-08-01,47855000.0,49372000.0,47601000.0,47822000.0,1776.51766567,1416800.0,50747000.0,1.0
2021-08-02,47842000.0,48175000.0,45370000.0,45932000.0,2691.00097481,2244000.0,49258800.0,1.0
2021-08-03,45932000.0,46328000.0,44300000.0,44809000.0,2419.48104236,1622400.0,48176000.0,1.0
2021-08-04,44809000.0,45540000.0,43900000.0,45353000.0,2013.27483096,1312000.0,46431400.0,1.0
2021-08-05,45353000.0,46005000.0,43703000.0,45243000.0,2481.50705281,1841600.0,46665000.0,1.0
2021-08-06,45268000.0,47700000.0,44676000.0,47232000.0,2825.55710329,2419200.0,47109600.0,1.002598196545927
2021-08-07,47232000.0,51108000.0,47160000.0,50027000.0,3683.39078528,3158400.0,49651200.0,1.0075687999484404
2021-08-08,50027000.0,51733000.0,49030000.0,50657000.0,2784.83081279,2162400.0,53185400.0,1.0
2021-08-09,50664000.0,53000000.0,49459000.0,52366000.0,3408.28013009,2832800.0,52826400.0,0.991284660699953
2021-08-10,52364000.0,53403000.0,51901000.0,52359000.0,2586.24103539,1201600.0,55196800.0,1.0
2021-08-11,52355000.0,53437000.0,51806000.0,53220000.0,2378.98093709,1304800.0,53556600.0,1.0
2021-08-12,53241000.0,53483000.0,51331000.0,51612000.0,3078.85016931,1721600.0,54545800.0,1.0
2021-08-13,51618000.0,54107000.0,51380000.0,53955000.0,3748.60793045,2181600.0,53339600.0,1.0115373943561632
2021-08-14,53948000.0,55680000.0,53500000.0,54570000.0,3334.9826917,1744000.0,56129600.0,1.0
2021-08-15,54570000.0,55186000.0,53230000.0,53700000.0,2156.52830858,1564800.0,56314000.0,1.0
2021-08-16,53690000.0,55662000.0,53552000.0,53763000.0,2131.11362192,1688000.0,55254800.0,0.9730014405988258
2021-08-17,53758000.0,54650000.0,53031000.0,53749000.0,2747.97226446,1295200.0,55446000.0,1.0
2021-08-18,53751000.0,54060000.0,51802000.0,53212000.0,3068.76027069,1806400.0,55046200.0,1.0
2021-08-19,53300000.0,53671000.0,51850000.0,53514000.0,2482.90972261,1456800.0,55106400.0,1.0
2021-08-20,53547000.0,56888000.0,53471000.0,56822000.0,2784.12773883,2733600.0,55003800.0,1.0330558979561413
2021-08-21,56830000.0,57934000.0,56369000.0,57532000.0,2544.96117185,1252000.0,59563600.0,1.0
2021-08-22,57552000.0,58372000.0,56760000.0,56777000.0,1368.21384789,1289600.0,58804000.0,1.0
2021-08-23,56775000.0,58705000.0,56650000.0,57995000.0,2537.322959,1644000.0,58064600.0,0.9988013350647382
2021-08-24,57978000.0,58078000.0,56582000.0,56951000.0,2480.46105619,1196800.0,59622000.0,1.0
2021-08-25,56951000.0,56981000.0,55135000.0,56364000.0,2602.28441011,1476800.0,58147800.0,1.0
2021-08-26,56364000.0,57441000.0,54510000.0,55068000.0,2109.09938823,2344800.0,57840800.0,1.0
2021-08-27,55042000.0,56822000.0,54580000.0,56566000.0,1817.39090746,1793600.0,57386800.0,1.0
2021-08-28,56559000.0,57853000.0,56489000.0,56988000.0,1256.40986516,1091200.0,58352600.0,1.0
2021-08-29,57007000.0,58000000.0,56345000.0,56792000.0,1246.19491,1324000.0,58098200.0,1.0
2021-08-30,56829000.0,57780000.0,56050000.0,56353000.0,1488.69415191,1384000.0,58153000.0,1.0
2021-08-31,56353000.0,57074000.0,55246000.0,55324000.0,2100.61312762,1462400.0,57737000.0,1.0
2021-09-01,55311000.0,55839000.0,54464000.0,55345000.0,2122.67302329,1100000.0,56773400.0,1.0
2021-09-02,55345000.0,58450000.0,55300000.0,57640000.0,2811.30630473,2520000.0,56445000.0,1.0211710514660288
2021-09-03,57625000.0,59143000.0,56400000.0,58778000.0,2618.10136341,2194400.0,60145000.0,1.0
2021-09-04,58778000.0,58895000.0,57301000.0,57825000.0,1549.94942404,1275200.0,60972400.0,1.0
2021-09-05,57825000.0,58380000.0,57215000.0,57970000.0,1362.48805556,932000.0,59100200.0,1.0
